X,Y
0.986754003,0.004510243
1.04430705,0.049361518
0.978288487,0.134791097
1.004830977,0.206414898
0.943571153,0.213044603
0.950030157,0.288294592
0.898176602,0.357607132
0.896075942,0.416480968
0.9022045,0.495695072
0.799659692,0.49324122
0.813375385,0.607504177
0.769373155,0.651748169
0.713145276,0.67101845
0.638106431,0.70296352
0.633600546,0.776920708
0.587078552,0.786522554
0.535473919,0.854178749
0.494685596,0.869951951
0.437019674,0.961395498
0.365730972,0.921713699
0.300488858,0.916157665
0.260192231,0.97205384
0.170641396,0.993146802
0.13370424,1.039004023
0.0712241,1.026761532
0.005347953,1.012476363
-0.074381194,1.048580792
-0.125328861,0.950163344
-0.189127215,0.959140063
-0.246676068,0.935597305
-0.334774105,0.927806959
-0.344985342,0.887095701
-0.428124788,0.92825854
-0.467357825,0.875260857
-0.515621316,0.796133296
-0.580023735,0.770548764
-0.643086071,0.780068382
-0.695115999,0.759172653
-0.770796021,0.741976179
-0.855908595,0.694112259
-0.827348255,0.587123412
-0.819272867,0.510611206
-0.806424618,0.453877167
-0.914796287,0.42658569
-0.90394622,0.356068708
-0.938224425,0.301448601
-0.950932856,0.230952138
-0.978066721,0.183178625
-1.030400404,0.119522417
-1.003576066,0.062118381
-0.994438429,-0.004312699
-0.961234228,-0.069619719
-0.936318574,-0.097546462
-0.966440068,-0.179559875
-0.968487184,-0.241394573
-1.013003743,-0.318445194
-0.93553417,-0.365945109
-0.92583877,-0.461299701
-0.867067553,-0.46211314
-0.801766307,-0.525304424
-0.795774873,-0.548019347
-0.754066566,-0.617464235
-0.781476184,-0.737453439
-0.658615971,-0.713830802
-0.647631992,-0.800080184
-0.559846494,-0.790168156
-0.557850444,-0.868951139
-0.494391999,-0.884705967
-0.411829327,-0.905241409
-0.370262084,-0.927391313
-0.31966039,-0.923313225
-0.269257574,-0.979269709
-0.197711174,-0.964009873
-0.112872409,-0.950424905
-0.057945098,-0.953513142
0.010419658,-1.005986617
0.059509877,-1.053588884
0.128407259,-0.997367708
0.19577426,-0.976414358
0.246635692,-0.979427763
0.329948688,-0.992291991
0.361630492,-0.940552561
0.414792698,-0.894085548
0.49518697,-0.913087795
0.528408508,-0.866615597
0.62559017,-0.847955824
0.63603606,-0.779952351
0.655340621,-0.697604838
0.698743484,-0.646745257
0.819533235,-0.668781763
0.864001258,-0.614652691
0.838235358,-0.533698995
0.861518778,-0.480772454
